Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,7.540000,7.670000,7.320000,7.380000,7.380000,1996400
2020-05-20,7.490000,7.580000,7.250000,7.340000,7.340000,2683500
2020-05-21,7.360000,7.510000,7.220000,7.430000,7.430000,1909600
2020-05-22,7.400000,7.440000,7.190000,7.360000,7.360000,1331100
2020-05-26,7.550000,7.730000,7.470000,7.510000,7.510000,2888900
2020-05-27,7.630000,7.860000,7.430000,7.850000,7.850000,2138800
2020-05-28,7.950000,8.060000,7.500000,7.550000,7.550000,2299000
2020-05-29,7.420000,7.490000,7.180000,7.370000,7.370000,1996400
2020-06-01,7.420000,7.800000,7.320000,7.610000,7.610000,2079800
2020-06-02,7.770000,8.000000,7.420000,7.860000,7.860000,2200200
2020-06-03,8.000000,8.270000,7.770000,8.120000,8.120000,2480900
2020-06-04,8.010000,8.080000,7.800000,7.960000,7.960000,2207800
2020-06-05,8.150000,8.330000,8.040000,8.110000,8.110000,1962200
2020-06-08,8.280000,8.350000,8.150000,8.250000,8.250000,1997100
2020-06-09,8.060000,8.230000,7.880000,8.060000,8.060000,2439200
2020-06-10,8.070000,8.150000,7.740000,7.860000,7.860000,1826400
2020-06-11,7.560000,7.600000,7.100000,7.160000,7.160000,2735700
2020-06-12,7.440000,7.550000,7.110000,7.250000,7.250000,1884000
2020-06-15,7.020000,7.690000,7.010000,7.580000,7.580000,1796900
2020-06-16,7.870000,8.000000,7.480000,7.590000,7.590000,1913600
2020-06-17,7.600000,7.660000,7.290000,7.310000,7.310000,1683100
2020-06-18,7.230000,7.390000,7.160000,7.280000,7.280000,1946700
2020-06-19,7.360000,7.420000,7.180000,7.330000,7.330000,4701500
2020-06-22,7.330000,7.330000,6.900000,7.090000,7.090000,2603400
2020-06-23,7.180000,7.240000,7.000000,7.000000,7.000000,1570100
2020-06-24,6.900000,6.960000,6.610000,6.650000,6.650000,3030500
2020-06-25,6.610000,6.690000,6.460000,6.620000,6.620000,2284500
2020-06-26,6.550000,6.610000,6.340000,6.450000,6.450000,2192700
2020-06-29,6.470000,6.940000,6.460000,6.820000,6.820000,2455000
2020-06-30,6.900000,7.080000,6.810000,6.990000,6.990000,1754100
2020-07-01,6.930000,7.050000,6.730000,6.850000,6.850000,1677900
2020-07-02,7.000000,7.070000,6.790000,6.810000,6.810000,1538600
2020-07-06,6.950000,7.050000,6.840000,6.970000,6.970000,1731900
2020-07-07,6.890000,6.950000,6.590000,6.620000,6.620000,1806900
2020-07-08,6.630000,6.690000,6.400000,6.690000,6.690000,1897900
2020-07-09,6.690000,6.720000,6.420000,6.480000,6.480000,1508100
2020-07-10,6.480000,6.640000,6.390000,6.630000,6.630000,1369600
2020-07-13,6.700000,6.820000,6.500000,6.520000,6.520000,1699600
2020-07-14,6.510000,6.650000,6.460000,6.600000,6.600000,1060100
2020-07-15,6.650000,6.940000,6.640000,6.850000,6.850000,2645100
2020-07-16,6.800000,6.830000,6.610000,6.680000,6.680000,1085400
2020-07-17,6.710000,6.920000,6.690000,6.860000,6.860000,1238800
2020-07-20,6.860000,6.870000,6.620000,6.850000,6.850000,1391700
2020-07-21,6.900000,6.990000,6.710000,6.840000,6.840000,1945000
2020-07-22,6.820000,6.910000,6.720000,6.800000,6.800000,1274200
2020-07-23,6.770000,6.910000,6.700000,6.800000,6.800000,1740500
2020-07-24,6.730000,6.770000,6.540000,6.590000,6.590000,1238600
2020-07-27,6.590000,6.820000,6.530000,6.800000,6.800000,1456500
2020-07-28,6.870000,6.870000,6.610000,6.610000,6.610000,1406100
2020-07-29,6.640000,6.790000,6.580000,6.690000,6.690000,1485800
2020-07-30,6.600000,6.680000,6.450000,6.590000,6.590000,1727300
2020-07-31,6.590000,6.650000,6.370000,6.590000,6.590000,1686000
2020-08-03,6.590000,6.800000,6.550000,6.720000,6.720000,1576200
2020-08-04,6.750000,6.850000,6.660000,6.840000,6.840000,1702200
2020-08-05,6.930000,7.060000,6.710000,7.060000,7.060000,3326900
2020-08-06,6.400000,6.540000,6.040000,6.270000,6.270000,8788100
2020-08-07,6.300000,6.390000,6.130000,6.210000,6.210000,2423700
2020-08-10,6.210000,6.380000,6.180000,6.200000,6.200000,2230300
2020-08-11,6.290000,6.430000,6.110000,6.150000,6.150000,2593300
2020-08-12,6.220000,6.300000,5.980000,6.020000,6.020000,3068700
2020-08-13,6.000000,6.140000,5.840000,6.100000,6.100000,2925600
2020-08-14,6.050000,6.100000,5.880000,5.960000,5.960000,1836700
2020-08-17,6.000000,6.090000,5.760000,5.810000,5.810000,2211700
2020-08-18,5.800000,5.820000,5.520000,5.560000,5.560000,3049900
2020-08-19,5.550000,5.580000,5.430000,5.440000,5.440000,2780500
2020-08-20,5.430000,5.450000,5.260000,5.330000,5.330000,2809200
2020-08-21,5.300000,5.450000,5.220000,5.450000,5.450000,3714200
2020-08-24,5.490000,5.550000,5.280000,5.330000,5.330000,3419500
2020-08-25,5.360000,5.500000,5.190000,5.270000,5.270000,2526000
2020-08-26,5.290000,5.550000,5.250000,5.480000,5.480000,3516900
2020-08-27,5.490000,5.580000,5.190000,5.310000,5.310000,2627400
2020-08-28,5.300000,5.480000,5.230000,5.410000,5.410000,2356700
2020-08-31,5.430000,5.600000,5.330000,5.490000,5.490000,2406700
2020-09-01,5.470000,5.480000,5.280000,5.360000,5.360000,2174100
2020-09-02,5.400000,5.690000,5.390000,5.590000,5.590000,3260800
2020-09-03,5.520000,5.560000,5.270000,5.410000,5.410000,2558500
2020-09-04,5.450000,5.560000,5.220000,5.410000,5.410000,2542500
2020-09-08,5.300000,5.350000,5.160000,5.200000,5.200000,2543500
2020-09-09,5.330000,5.480000,5.280000,5.400000,5.400000,2016700
2020-09-10,5.390000,5.570000,5.310000,5.330000,5.330000,2239900
2020-09-11,5.360000,5.370000,5.210000,5.220000,5.220000,1849000
2020-09-14,5.270000,5.360000,5.230000,5.340000,5.340000,1691500
2020-09-15,5.370000,5.440000,5.250000,5.270000,5.270000,1286100
2020-09-16,5.380000,5.440000,5.300000,5.340000,5.340000,1651000
2020-09-17,5.250000,5.290000,5.170000,5.210000,5.210000,1803200
2020-09-18,5.250000,5.330000,5.170000,5.320000,5.320000,5416600
2020-09-21,5.150000,5.200000,4.940000,5.010000,5.010000,3733900
2020-09-22,5.020000,5.080000,4.880000,4.980000,4.980000,2181100
2020-09-23,4.980000,5.030000,4.700000,4.730000,4.730000,2924600
2020-09-24,4.700000,4.820000,4.600000,4.660000,4.660000,2352000
2020-09-25,4.660000,4.720000,4.620000,4.650000,4.650000,2181200
2020-09-28,4.740000,4.960000,4.740000,4.790000,4.790000,1910700
2020-09-29,4.840000,5.070000,4.770000,4.920000,4.920000,2372400
2020-09-30,4.930000,5.130000,4.860000,4.910000,4.910000,2021800
2020-10-01,4.940000,4.980000,4.830000,4.880000,4.880000,1535000
2020-10-02,4.750000,4.900000,4.670000,4.870000,4.870000,1739400
2020-10-05,4.910000,5.030000,4.900000,4.990000,4.990000,1218900
2020-10-06,5.060000,5.620000,5.050000,5.370000,5.370000,5565100
2020-10-07,5.450000,6.490000,5.450000,6.360000,6.360000,24266900
2020-10-08,6.400000,6.520000,6.170000,6.390000,6.390000,8427000
2020-10-09,6.700000,6.980000,6.520000,6.690000,6.690000,6296100
2020-10-12,6.800000,6.920000,6.600000,6.750000,6.750000,4651400
2020-10-13,6.620000,6.710000,6.460000,6.630000,6.630000,2856300
2020-10-14,6.610000,6.730000,6.520000,6.540000,6.540000,1929100
2020-10-15,6.390000,6.690000,6.380000,6.670000,6.670000,2177200
2020-10-16,6.750000,6.890000,6.590000,6.770000,6.770000,2926600
2020-10-19,6.890000,7.180000,6.800000,6.950000,6.950000,5330200
2020-10-20,7.090000,7.160000,6.990000,7.140000,7.140000,3947800
2020-10-21,7.180000,7.560000,7.170000,7.520000,7.520000,4716400
2020-10-22,7.560000,8.580000,7.530000,8.230000,8.230000,9543200
2020-10-23,8.360000,8.380000,7.600000,7.660000,7.660000,5300800
2020-10-26,7.400000,7.500000,6.350000,6.380000,6.380000,8613200
2020-10-27,6.500000,6.660000,6.290000,6.320000,6.320000,2826500
2020-10-28,6.100000,6.170000,5.900000,5.980000,5.980000,3563600
2020-10-29,6.020000,6.150000,5.880000,6.100000,6.100000,3332000
2020-10-30,6.040000,6.080000,5.560000,5.690000,5.690000,3532700
2020-11-02,5.810000,5.860000,5.610000,5.750000,5.750000,2076300
2020-11-03,6.300000,6.330000,6.000000,6.240000,6.240000,3709100
2020-11-04,6.210000,6.280000,5.730000,5.910000,5.910000,4041100
